epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59256,1.9838,3.16051,1.28872,0,0,0,0,2.66732,4.88262,1.86531,0.000324074,0.000324074,0.0679167
2,13.5617,1.78898,1.53186,1.25935,0.2469,0.17544,0.08907,0.04033,1.94064,3.05485,1.41474,0.000650899,0.000650899,0.0349102
3,19.2538,1.70096,1.33516,1.21475,0.73884,0.36842,0.46704,0.24094,1.80215,2.18515,1.30619,0.000971124,0.000971124,0.00189705
4,24.8268,1.75617,1.33067,1.24695,0.91875,0.29825,0.41717,0.20013,2.0117,2.59527,1.41574,0.0009703,0.0009703,0.0009703
5,30.3321,1.65795,1.25953,1.21372,0.6876,0.52632,0.57239,0.2766,1.81282,1.44922,1.36637,0.0009604,0.0009604,0.0009604
6,35.8587,1.6327,1.14825,1.1966,0.83844,0.45614,0.61163,0.28938,1.85607,1.91346,1.36167,0.0009505,0.0009505,0.0009505
7,41.5158,1.559,1.10598,1.16897,0.70699,0.64912,0.69428,0.3308,1.86209,1.31262,1.35316,0.0009406,0.0009406,0.0009406
8,47.0899,1.58569,1.08955,1.16612,0.73579,0.61404,0.66134,0.30347,1.81788,1.49481,1.3079,0.0009307,0.0009307,0.0009307
9,52.6426,1.56892,1.04761,1.14986,0.76503,0.62837,0.7002,0.352,1.73878,1.20447,1.29024,0.0009208,0.0009208,0.0009208
10,58.141,1.53977,1.03375,1.14241,0.86698,0.57182,0.69324,0.34282,1.81312,1.16202,1.3189,0.0009109,0.0009109,0.0009109
11,63.681,1.48028,0.96914,1.14971,0.80964,0.67164,0.77208,0.3666,1.84914,1.06439,1.35118,0.000901,0.000901,0.000901
12,69.3485,1.5072,0.97348,1.12204,0.69229,0.61404,0.66267,0.27561,1.8307,1.19782,1.32203,0.0008911,0.0008911,0.0008911
13,74.8258,1.43336,0.89487,1.09865,0.81773,0.7193,0.76184,0.37312,1.75225,1.13578,1.3127,0.0008812,0.0008812,0.0008812
14,80.3841,1.46251,0.96962,1.10684,0.78693,0.82456,0.83935,0.40078,1.77948,0.93332,1.36398,0.0008713,0.0008713,0.0008713
15,85.9122,1.36751,0.8737,1.07838,0.86707,0.66667,0.8184,0.40568,1.70598,1.29972,1.32893,0.0008614,0.0008614,0.0008614
16,91.5299,1.45969,0.9177,1.15595,0.92666,0.66503,0.81337,0.36974,1.83153,1.06951,1.31366,0.0008515,0.0008515,0.0008515
17,97.0166,1.40176,0.9034,1.09388,0.94712,0.6285,0.81389,0.39208,1.74669,1.3648,1.31086,0.0008416,0.0008416,0.0008416
18,102.522,1.392,0.86558,1.07447,0.95231,0.64912,0.79284,0.4313,1.65874,1.14708,1.267,0.0008317,0.0008317,0.0008317
19,108.076,1.33944,0.83345,1.06369,0.84018,0.85965,0.87713,0.43649,1.75281,0.94521,1.26371,0.0008218,0.0008218,0.0008218
20,113.699,1.32137,0.82129,1.06642,0.91951,0.80702,0.86541,0.43549,1.75767,1.00035,1.27442,0.0008119,0.0008119,0.0008119
21,119.248,1.30876,0.82058,1.05619,0.94224,0.85855,0.89679,0.40924,1.75341,0.86318,1.29262,0.000802,0.000802,0.000802
22,124.729,1.30351,0.79642,1.05898,0.8753,0.84211,0.88864,0.41886,1.7626,1.03879,1.33113,0.0007921,0.0007921,0.0007921
23,130.202,1.27495,0.76631,1.03731,0.92794,0.64912,0.80915,0.38613,1.84131,1.05182,1.40984,0.0007822,0.0007822,0.0007822
24,135.737,1.21797,0.7353,1.02817,0.83195,0.69492,0.76148,0.37198,1.86482,1.10827,1.34976,0.0007723,0.0007723,0.0007723
25,141.24,1.2889,0.77741,1.03887,0.84504,0.76543,0.84383,0.40214,1.73094,0.97992,1.32927,0.0007624,0.0007624,0.0007624
26,146.797,1.27167,0.77657,1.03786,0.83785,0.81594,0.86433,0.38979,1.80187,0.98986,1.37815,0.0007525,0.0007525,0.0007525
27,152.33,1.24293,0.74167,1.02664,0.89597,0.84211,0.89406,0.3815,1.89748,1.00177,1.36333,0.0007426,0.0007426,0.0007426
28,158.345,1.20879,0.72466,1.02155,0.88369,0.84211,0.86784,0.40046,1.79411,1.02336,1.35367,0.0007327,0.0007327,0.0007327
29,164.155,1.17734,0.70248,0.98483,0.90467,0.83257,0.88393,0.43351,1.83199,0.91115,1.34444,0.0007228,0.0007228,0.0007228
